claim_id,claim,status,included_path,source_path,reproduce_command,expected_output,approx_runtime_measured,pdk_openroad,notes
C-SP08A,SP-08 RST-A fail-open CE,COUNTEREXAMPLE,evidence/formal/sp08_reset_logfile.txt; evidence/formal/sp08_reset.time.txt; evidence/formal/sp08_reset_config.sby,IEEE_Access_Resubmission_Experimental_Package/evidence/formal_logs/sp08_reset/,export PATH=$PWD/tools/z3/bin:$PATH; python3 tools/SymbiYosys/sbysrc/sby.py -f -d OUT formal/sby/sp08_reset.sby,DONE (FAIL, rc=0); assert formal_reset_tb.v:103 step 1,GNU wall 0:01.51; SBY clock 1s process 1s; max RSS 64816 kB,none (formal only),Use tools/z3 4.13.4 per that package. Not production IOPMP.
C-SP08B,SP-08 RST-B k-induction PASS,FORMAL_PROOF,evidence/formal/sp08_rstb_prove_logfile.txt; evidence/formal/sp08_rstb_prove.time.txt; evidence/formal/sp08_rstb_prove_config.sby,IEEE_Access_Resubmission_Experimental_Package/evidence/formal_logs/sp08_rstb_prove/,python3 tools/SymbiYosys/sbysrc/sby.py -f -d OUT formal/sby/sp08_rstb_prove.sby,DONE (PASS, rc=0); Temporal induction successful after step 3,GNU wall 0:09.20; SBY clock 9s process 17s; max RSS 274492 kB,none (formal only),config.sby has no depth key; log used -t 20.
C-ARB-CONE-V1,ARB-1..10 one-cone prove v1,FORMAL_PROOF,evidence/formal/prod_arbiter_prove.sby_stdout.txt; evidence/formal/prod_arbiter_prove.sby; evidence/formal/PRODUCTION_ARBITER_PROOF_MATRIX.csv,IEEE_Access_Production_Attribution_Unbounded_Formal/formal/,sby -f -d formal/proofs/prod_arbiter_prove formal/configurations/prod_arbiter_prove.sby,DONE (PASS, rc=0); induction success after step 17,SBY clock 25s process 30s; peak RAM NOT_RECORDED,none (formal only),No per-property runtime.
C-ARB-CONE-V2,ARB-1..10 one-cone prove v2,FORMAL_PROOF,evidence/formal/prod_arbiter_v2_prove.sby_stdout.txt; evidence/formal/prod_arbiter_v2_prove.sby,IEEE_Access_End_to_End_Authorization_Proof_Closure/formal/,sby -f -d formal/proofs/prod_arbiter_v2_prove formal/configurations/prod_arbiter_v2_prove.sby,DONE (PASS, rc=0); induction success after step 19,SBY clock 43s process 50s; peak RAM NOT_RECORDED,none (formal only),Solver version not in log. Host snapshot in that package lists z3 5.0.0.
C-ARB-PROPS,ARB-1..10 property list,FORMAL_PROOF (same cone),evidence/formal/PRODUCTION_ARBITER_PROOF_MATRIX.csv,IEEE_Access_Production_Attribution_Unbounded_Formal/tables/PRODUCTION_ARBITER_PROOF_MATRIX.csv,do not rerun as 10 tasks; inspect matrix + v2 prove log,ARB-1..10 PASS; original sticky mutation FAIL expected on ARB-5,NOT_RECORDED per property,none,ARB-5b listed in matrix (11 rows of properties in one cone).
C-NOREG-ANY,any-address no-regrant unbounded,FORMAL_PROOF,evidence/formal/noregrant_any_prove.sby_stdout.txt; evidence/formal/noregrant_any_prove.sby,IEEE_Access_Any_Address_Regrant_Repair_and_Proof/formal/,cd IEEE_Access_Any_Address_Regrant_Repair_and_Proof && bash reproduction/REPRODUCE.sh,DONE (PASS, rc=0); induction success after step 11,SBY clock 54s process 90s; peak RAM NOT_RECORDED,none (formal only),REPRODUCE.sh also runs a prerepair BMC expected to fail.
C-IF01A-FINAL,IF01-A exactly-once DMA write,SIMULATION_EVIDENCE,evidence/simulation/IF01_A_events_final.log; evidence/simulation/IF01-A_RST-B_anyaddr.log; tables/IF01_A_TRANSACTION_LEDGER.csv,IEEE_Access_Any_Address_Regrant_Repair_and_Proof/simulation/,rebuild C.5 then run IF01-A RST-B DELAY=8 (see reproduction/commands.md),1 DMA_ADMITTED TXN_ID=2; 1 ARB_DMA_GNT cyc 32; 1 SRAM_WRITE SRC=DMA cyc 43; RES=0x600d00c1; no DUPLICATE,Verilator wallclock printed 0 s (not a useful measurement),none,Independent SRAM_WRITE definition in the ledger header.
C-C5-FINAL,C.5 IF+ORD+200 random after anyaddr,SIMULATION_EVIDENCE,evidence/simulation/c5_full_regression_anyaddr.log; evidence/simulation/m7_inflight_reset_matrix_anyaddr.csv; evidence/simulation/m7_realcore_release_order_matrix_anyaddr.csv,IEEE_Access_Any_Address_Regrant_Repair_and_Proof/simulation/,python3 scripts/analysis/run_m7_phase_c5_tests.py --sim-a RST-A-sim --sim-b RST-B-sim --random-n 200 --out-dir OUT --matrix-dir OUT/tables,all IF/ORD PASS; 200 RAND-ORD logs; no FAIL lines in suite log,NOT_RECORDED as a single wall time,none,Random CSV absent from that package; 200 per-seed logs exist in the source package.
C-C5-HIST-50,C.5 50-seed on IOPMP ec77c2a9,HISTORICAL,evidence/simulation/c5_full_regression_prodsec_50seed.log; evidence/simulation/m7_realcore_release_order_random_prodsec_50.csv,IEEE_Access_Final_Production_Security_Closure/simulation/c5_full_regression/,same script with --random-n 50,50 random PASS on that IOPMP,NOT_RECORDED as a single wall time,none,Do not replace the 200-seed final row.
C-IF01A-ORIG,original IOPMP IF01-A duplicate,HISTORICAL FAIL,evidence/simulation/IF01_A_events_original_iopmp.log; evidence/simulation/IF01_A_INDEPENDENT_REPRODUCTION.md,IEEE_Access_Final_Production_Security_Closure/simulation/if01_original_iopmp_indep2/,matched original vs repaired IOPMP IF01-A,2 ARB_DMA_GNT; 2 SRAM_WRITE SRC=DMA; DUPLICATE_SRAM_WRITE CNT=2,NOT_RECORDED,none,Negative control. Arbiter already repaired 20477634….
C-IF02A-SB,IF02-A event-log SCOREBOARD_FAIL vs suite PASS,INCONCLUSIVE / CLASSIFICATION GAP,evidence/simulation/IF02-A_RST-B_anyaddr.log; tables/HISTORICAL_FAILURES_AND_INCONCLUSIVE.csv,IEEE_Access_Any_Address_Regrant_Repair_and_Proof/simulation/c5_full_regression/tests/IF02-A_RST-B.log,rerun IF02-A RST-B,suite log PASS; events contain DUPLICATE_SRAM_WRITE + PAYLOAD_MISMATCH on CPU TXN_ID=1,Verilator wallclock printed 0 s,none,CPU in-flight reset reuses TXN_ID=1. Not a DMA re-grant.
C-J2-REPAIRED,J2 repaired post-route PPA,VALID_REPAIRED (arbiter 20477634; pre-anyaddr IOPMP),evidence/ppa/j2_repaired_metrics.json; evidence/ppa/POST_REPAIR_PPA.md; evidence/ppa/PPA_PROVENANCE_MATRIX.csv,IEEE_Access_Production_RTL_Repair_and_Full_Ibex_Validation/physical_design/,FLOW_VARIANT=repaired_exact_once CLOCK_PERIOD=20.0 bash scripts/ppa/run_orfs_m7_docker.sh J2 <log>,area 278827; setup WNS 1.20544; hold WNS 0.376382; DRC 0; GDS YES; timing PASS,J2 wall time NOT_RECORDED,PDK sky130hd via ORFS image openroad/orfs@sha256:817b608c69a71fafc7b61baec11b4dc073fb8efb9d2714f9bd3316db4beba277; Docker required; host openroad ABSENT,Hierarchy is J2 composition not arbiter-only. IOPMP any-address change not re-measured.
C-J3-REPAIRED,J3 repaired post-route PPA,VALID_REPAIRED (arbiter 20477634; pre-anyaddr IOPMP),evidence/ppa/j3_repaired_metrics.json; evidence/ppa/POST_REPAIR_PPA.md,IEEE_Access_Production_RTL_Repair_and_Full_Ibex_Validation/physical_design/,same docker flow for J3,area 277934; setup WNS 1.10692; hold WNS 0.0716267; DRC 0; GDS YES; timing PASS,1207 s (POST_REPAIR_PPA.md),same PDK/image/period as J2,J3 adds RST-B + domain reset. Not a full C.5 harness PPA.
C-J2J3-HIST,J2/J3 historical original arbiter,HISTORICAL_ORIGINAL_ONLY,evidence/ppa/PPA_VARIANT_PROVENANCE_exactly_once.csv,IEEE_Access_Exactly_Once_Verification_and_Repair/tables/PPA_VARIANT_PROVENANCE.csv,do not reuse as repaired numbers,J2 279752 / J3 280749 on arbiter a6046ee3; marked NOT_RERUN_NO_OPENROAD in that table,NOT_RERUN in that package,same sky130hd / 20 ns / 817b608c image historically,Superseded as the repaired measurement by Production_RTL_Repair; still the original-arbiter baseline.
C-OPTION-A,Option A readiness (no HW RSDG in C.5),ARCHITECTURE,reports/OPTION_A_AND_J2_J3_SCOPE.md; evidence/architecture/HARDWARE_READINESS_ARCHITECTURE_DECISION.md; evidence/architecture/INIT_WRITER_TRUST_BOUNDARY.md,those source reports,no command — design inspection of m7_ibex_c5_composed_top,no rsdg instance; sys_secure_ready harness-only; INIT-2 assumption,N/A,J2/J3 do not synthesize C.5 harness or rsdg.v,Do not claim hardware fail-closed secure init for C.5.
