experiment,seed,requester_rrid,address,length,operation,M4_config,REF_config,enable,configured,M4_result,REF_result,same,difference_classification,explanation
DIFF-0000,0,1,0x20000724,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0001,1,2,0x20000d80,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0002,2,1,0x2000065c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0003,3,2,0x20000e5c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0004,4,2,0x20000518,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0005,5,1,0x20000ac4,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0006,6,1,0x20000874,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0007,7,2,0x20000c1c,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0008,8,2,0x20000b90,4,read,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0009,9,2,0x20000748,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0010,10,2,0x20000338,4,read,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0011,11,2,0x20000b5c,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0012,12,2,0x20000578,4,write,C1,REF-C1,True,True,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0013,13,1,0x200008a0,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0014,14,2,0x20000a60,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0015,15,2,0x20000104,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
DIFF-0016,16,1,0x20000a10,4,write,C1,REF-C0,False,False,ALLOW,ALLOW,True,EXPECTED_EQUIVALENCE,same ALLOW/DENY
