property_id,simulation_result,bmc_result,pdr_result,assumptions,classification,counterexample_path,notes
SP-01,PASS,BOUNDED_EVIDENCE,NOT_RUN,"FA-03,FA-04",BOUNDED_EVIDENCE,,CPU confidentiality via PMP
SP-02,PASS,FORMAL_PROOF,FORMAL_PROOF,FA-03..FA-08,FORMAL_PROOF,results/formal/counterexamples/SP-02/,CPU integrity
SP-03,PASS,BOUNDED_EVIDENCE,NOT_RUN,"FA-02,FA-05",BOUNDED_EVIDENCE,,DMA confidentiality
SP-04,PASS,FORMAL_PROOF,FORMAL_PROOF,FA-02..FA-08,FORMAL_PROOF,results/formal/counterexamples/SP-04/,DMA integrity
SP-05,PASS,NOT_RUN,NOT_RUN,FA-05,NOT_RUN,,Denied non-side-effect; sim only
SP-06,PASS,NOT_RUN,NOT_RUN,FA-05,NOT_RUN,,Requester identity; sim
SP-07,PASS,NOT_RUN,NOT_RUN,FA-05,NOT_RUN,,Revocation; sim
SP-08-RST-A,COUNTEREXAMPLE,RESET_ASSUMPTION_DEPENDENCY,NOT_RUN,"FA-01,FA-07,RST-A",RESET_ASSUMPTION_DEPENDENCY,results/formal/counterexamples/SP-08/,Fail-open reset
SP-08-RST-B,PASS,FORMAL_PROOF,FORMAL_PROOF,"FA-01,FA-07,RST-B",FORMAL_PROOF,,Fail-closed reset
SP-10,PASS,BOUNDED_EVIDENCE,NOT_RUN,FA-01..FA-08,BOUNDED_EVIDENCE,results/formal/counterexamples/SP-10/,Concurrent masters
SP-11,NOT_RUN,FORMAL_HARNESS_BUG,NOT_RUN,"FA-01,RSDG",FORMAL_HARNESS_BUG,,Secure admission gate
SP-13,NOT_RUN,COUNTEREXAMPLE,FORMAL_PROOF,"FA-01,recovery",COUNTEREXAMPLE,,Recovery ordering
SP-B01,NOT_RUN,BOUNDED_EVIDENCE,NOT_RUN,FA-05 contrast,BOUNDED_EVIDENCE,results/formal/counterexamples/SP-B01/,Model B contrast
M57-FP-04-FIX0,COUNTEREXAMPLE,EXPECTED_PRE_FIX_COUNTEREXAMPLE,NOT_RUN,M58-FA,EXPECTED_PRE_FIX_COUNTEREXAMPLE,results/formal/m59/m59_original_env0_bmc128/,Write-path FIX-0
M57-FP-04-FIX2,BOUNDED_PASS,BOUNDED_PASS,FAIL,M59-FA-01..12,BOUNDED_EVIDENCE,results/formal/m58/m58_proper_bmc64/,Write-path FIX-2 ENV-4
