record_id,when,artifact,iopmp_or_rtl,observed,suite_or_tool_result,classification,keep_separate_because
H-IF01-ORIG,pre-repair IOPMP vs repaired arbiter,evidence/simulation/IF01_A_events_original_iopmp.log,a4d9773716d91025330cbe2e7789842c697e59d56a981fdc930cee1f260c141f,ARB_DMA_GNT at cyc 32 and 47; SRAM_WRITE SRC=DMA at cyc 43 and 58; SCOREBOARD_FAIL DUPLICATE_SRAM_WRITE TXN_ID=2 CNT=2,FAIL (negative control),HISTORICAL_FAILURE,Confirms original duplicate path. Not the final ledger.
H-C5-50,Production Security Closure,evidence/simulation/c5_full_regression_prodsec_50seed.log,ec77c2a999e5f65e28f3eee43ed1c5b18cfc45e6c8c41b29c88f7fa1c7609485,Random release-order (50 seeds) PASS,PASS,HISTORICAL_PASS_DIFFERENT_RTL,Seed count and IOPMP hash differ from final 200-seed / dd7fe6 row.
H-IF02A-SB,any-address C.5 (final IOPMP),evidence/simulation/IF02-A_RST-B_anyaddr.log,dd7fe6…,CYC=134 SCOREBOARD_FAIL DUPLICATE_SRAM_WRITE TXN_ID=1 CNT=2 and PAYLOAD_MISMATCH (CPU 0x5151a5a5 then 0xb0040004),suite PASS,INCONCLUSIVE_CLASSIFICATION_GAP,Event log is not clean; scorer uses commit-count predicates not scoreboard cleanliness. Not a DMA re-grant.
H-IF03CD-ERR,any-address C.5,c5_full_regression_anyaddr.log lines IF03-C/D,dd7fe6…,observed string contains 'err= ' with empty value,suite PASS,INCONCLUSIVE_FIELD,Do not invent err=0 or err=1.
H-SP08A,Resubmission formal,evidence/formal/sp08_reset_logfile.txt,527deba4… abstract iopmp,assert fail step 1,DONE (FAIL, rc=0),EXPECTED_COUNTEREXAMPLE,RST-A fail-open. Not a product CVE.
H-ARB-STICKY,Production Attribution matrix,evidence/formal/PRODUCTION_ARBITER_PROOF_MATRIX.csv,original sticky mutation,ARB-5 original_sticky_bmc=FAIL_expected,expected fail,MUTATION_NEGATIVE,Not a production fail.
H-SP11,Resubmission formal,IEEE_Access_Resubmission_Experimental_Package/03_FORMAL_PROOF_STATISTICS.csv,rsdg harness,ERROR rc=16 PREUNSAT,ERROR,FORMAL_HARNESS_BUG,Standalone SP-11; not wired into C.5 Option A.
H-M3-COVER,Resubmission formal,03_FORMAL_PROOF_STATISTICS.csv,formal_iopmp_tb cover,FAIL rc=2,INCONCLUSIVE,COVER_INCONCLUSIVE,Cover FAIL is not a safety fail.
H-SEP21-FREEZE,2026-09-21,IEEE_Access_Final_Experimental_Evidence.zip sha256 510684cb…,pre-anyaddr,missing any-address repair and later C.5/200-seed,N/A,SUPERSEDED,Do not use as the Access-2026-41377 freeze.
H-EXACTONCE-PPA-NOTE,Exactly_Once package,evidence/ppa/PPA_VARIANT_PROVENANCE_exactly_once.csv,arbiter a6046ee3,J2/J3 marked NOT_RERUN_NO_OPENROAD,N/A,SUPERSEDED_NOTE,Later Production_RTL_Repair DID re-run OpenROAD on arbiter 20477634…. Keep both; do not flatten.
H-E2E-Z3-SNAPSHOT,End_to_End environment.md,evidence/formal/end_to_end_environment.md,N/A,records z3 5.0.0 on PATH,N/A,ENVIRONMENT_INCONSISTENCY,SBY logs do not print Z3 version. Resubmission required 4.13.4. Any-address REPRODUCE.sh prepends tools/z3/bin.
