result_id,class,what_is_claimed,source_package,source_zip_sha256,rtl_or_hierarchy,rtl_sha256,build_or_formal_config,git_commit,notes
SP-08-RST-A,FORMAL BMC CE,RST-A fail-open counterexample at step 1,IEEE_Access_Resubmission_Experimental_Package,5f751fc0d3b52d2999ea7c89c2ca461ca746d66eb9cb249b4080966ebf758e2d,abstract iopmp.v copied into sp08_reset/src,527deba486eedfd3e67502a6d66708304f816511a1ec1aa4aa33b32d2517c336,sby mode=bmc depth=32 expect fail; engine smtbmc z3; top formal_reset_tb,07ee8931f8e7e75d48168914fffddb31a5e0a091,Not production IOPMP dd7fe6. Not a product vulnerability claim.
SP-08-RST-B-prove,FORMAL k-induction,RST-B fail-closed abstract reset,IEEE_Access_Resubmission_Experimental_Package,5f751fc0d3b52d2999ea7c89c2ca461ca746d66eb9cb249b4080966ebf758e2d,abstract iopmp.v copied into sp08_rstb_prove/src,527deba486eedfd3e67502a6d66708304f816511a1ec1aa4aa33b32d2517c336,sby mode=prove; no explicit depth key; smtbmc used -t 20; -D RST_B -D FORMAL; top formal_reset_rstb_tb,07ee8931f8e7e75d48168914fffddb31a5e0a091,Abstract model; not full Ibex C.5.
ARB-1-10-v1,FORMAL k-induction,ARB-1..10 as one cone,IEEE_Access_Production_Attribution_Unbounded_Formal,982196a4b0ca4392fc9eec62a199f333de589d37d30e751b190f2548befcd628,staged m7_research_arbiter.v,4ee4c3fdcc42c536e68817b546d71975efa911b627571d3748568b4d7da3f7a5,sby mode=prove depth=24 engine smtbmc z3; top formal_prod_arbiter_tb,07ee8931f8e7e75d48168914fffddb31a5e0a091,Staged .v has FORMAL ports; production .sv hash is 20477634…. Not byte-identical.
ARB-1-10-v2,FORMAL k-induction,same cone after A4_ENV / A5 discharge,IEEE_Access_End_to_End_Authorization_Proof_Closure,6751bbc7a876feca2659eff201ee9ddafaf9049db090eb2db38a8f87fab91fdd,staged m7_research_arbiter.v,4ee4c3fdcc42c536e68817b546d71975efa911b627571d3748568b4d7da3f7a5,sby mode=prove depth=24 engine smtbmc z3; top formal_prod_arbiter_tb,07ee8931f8e7e75d48168914fffddb31a5e0a091,Authoritative ARB cone for later composition claims. Solver version not in log.
anyaddr-noregrant-prove,FORMAL k-induction,no second grant at any address (no SCOPE_PROT),IEEE_Access_Any_Address_Regrant_Repair_and_Proof,aefdcab66767af65206c6d8e1996cd2e8dbf961bd108bad9065f68ab6f28874a,staged iopmp.v + staged m7_research_arbiter.v,iopmp dd7fe6a89f22a9c830615528733b2d51ccfb852ca0966d3991ab1172d06c82c8; arbiter 4ee4c3fd…,sby mode=prove depth=20 engine smtbmc z3; top formal_iopmp_noregrant_tb,07ee8931f8e7e75d48168914fffddb31a5e0a091,Matches current production IOPMP hash.
IF01-A-final,SIMULATION,1 admit / 1 arb grant / 1 independent DMA SRAM write,IEEE_Access_Any_Address_Regrant_Repair_and_Proof,aefdcab66767af65206c6d8e1996cd2e8dbf961bd108bad9065f68ab6f28874a,production iopmp.v + m7_research_arbiter.sv in C.5 rebuild,iopmp dd7fe6a89f22a9c830615528733b2d51ccfb852ca0966d3991ab1172d06c82c8; arbiter 204776349008176d2cc2934c0304a27497302cfbe522011ff9358dadf81b4519,FuseSoC/Verilator C.5 RST-B; TARGET_DELAY=8; C5_TEST=101; independent SRAM_WRITE := protected_memory_reset_n && sram_prot_req && sram_prot_write,07ee8931f8e7e75d48168914fffddb31a5e0a091,Final ledger. Harness RES=0x600d00c1.
C5-final-anyaddr,SIMULATION,IF+ORD+200 random release-order PASS,IEEE_Access_Any_Address_Regrant_Repair_and_Proof,aefdcab66767af65206c6d8e1996cd2e8dbf961bd108bad9065f68ab6f28874a,same as IF01-A-final,iopmp dd7fe6…; arbiter 20477634…,python3 scripts/analysis/run_m7_phase_c5_tests.py --random-n 200 (default); Verilator 5.050,07ee8931f8e7e75d48168914fffddb31a5e0a091,200 RAND-ORD_s*.log files exist. Package has no m7_realcore_release_order_random.csv. Console prints every 25th seed only.
C5-historical-prodsec,SIMULATION,IF+ORD+50 random on pre-anyaddr IOPMP,IEEE_Access_Final_Production_Security_Closure,7b60b60441dc0ea991347daba1086a1b45a0726af8f02f415bf09e912527ed59,iopmp + arbiter in C.5 tree,iopmp ec77c2a999e5f65e28f3eee43ed1c5b18cfc45e6c8c41b29c88f7fa1c7609485; arbiter 20477634…,run_m7_phase_c5_tests.py --random-n 50,07ee8931f8e7e75d48168914fffddb31a5e0a091,Do not collapse into the 200-seed final row.
IF01-A-original-negative,SIMULATION FAIL,original IOPMP duplicate grant/write,IEEE_Access_Final_Production_Security_Closure,7b60b60441dc0ea991347daba1086a1b45a0726af8f02f415bf09e912527ed59,historical original iopmp.v + repaired arbiter,iopmp a4d9773716d91025330cbe2e7789842c697e59d56a981fdc930cee1f260c141f; arbiter 20477634…,matched IF01-A TARGET_DELAY=8 independent monitor,07ee8931f8e7e75d48168914fffddb31a5e0a091,Preserved as historical failure only.
J2-historical-original,PPA,post-route stdcell area 279752,IEEE_Access_Exactly_Once_Verification_and_Repair / results/tables/m7_full_ibex_ppa_20ns.csv,271ceb20ffd0bde60cef3288afda83dfbbe3e23a46d37bed43161daecb5c3168,m7_ppa_j2_top -> m7_ppa_top INCLUDE_COMPOSITION=1 INCLUDE_DOMAIN_RESET=0,historical arbiter a6046ee3e5d825d45d4548f54ab383b7465982c4e6f3794d6c324d69a172e7d4,sky130hd CLOCK_PERIOD=20 ORFS image sha256:817b608c69a71fafc7b61baec11b4dc073fb8efb9d2714f9bd3316db4beba277,07ee8931f8e7e75d48168914fffddb31a5e0a091,Exactly_Once marked NOT_RERUN. Do not attribute to repaired arbiter.
